DATA design01-hx8k arachne 0  28.31   0.00 350 254 96
DATA design01-hx8k arachne 1  26.48   0.00 333 248 85
DATA design01-hx8k arachne 2  29.67   0.00 338 245 93
DATA design01-hx8k arachne 3  26.90   0.00 325 245 80
DATA design01-hx8k arachne 4  27.18   0.00 417 251 166
DATA design01-hx8k arachne 5  28.03   0.00 345 250 95
DATA design01-hx8k arachne 6  29.27   0.00 342 253 89
DATA design01-hx8k arachne 7  26.79   0.00 437 257 180
DATA design01-hx8k arachne 8  26.64   0.00 410 242 168
DATA design01-hx8k arachne 9  28.76   0.00 361 250 111
DATA design01-hx8k nextpnr 0  31.79  32.25 645 486 159
DATA design01-hx8k nextpnr 1  29.03  29.39 558 490 68
DATA design01-hx8k nextpnr 2  31.88  30.89 542 486 56
DATA design01-hx8k nextpnr 3  30.88  31.59 583 497 86
DATA design01-hx8k nextpnr 4  29.89  29.49 566 482 84
DATA design01-hx8k nextpnr 5  28.85  27.39 849 476 373
DATA design01-hx8k nextpnr 6  28.30  27.34 603 475 128
DATA design01-hx8k nextpnr 7  30.86  30.85 565 477 88
DATA design01-hx8k nextpnr 8  31.55  31.86 569 470 99
DATA design01-hx8k nextpnr 9  30.44  29.44 607 461 146
DATA design02-hx1k arachne 0  53.50   0.00 27 22 5
DATA design02-hx1k arachne 1  53.97   0.00 26 21 5
DATA design02-hx1k arachne 2  53.76   0.00 25 19 6
DATA design02-hx1k arachne 3  55.40   0.00 28 23 5
DATA design02-hx1k arachne 4  55.40   0.00 26 21 5
DATA design02-hx1k arachne 5  54.35   0.00 28 22 6
DATA design02-hx1k arachne 6  63.57   0.00 26 21 5
DATA design02-hx1k arachne 7  56.63   0.00 28 23 5
DATA design02-hx1k arachne 8  55.31   0.00 27 22 5
DATA design02-hx1k arachne 9  60.50   0.00 26 21 5
DATA design02-hx1k nextpnr 0  67.39  69.84 54 48 6
DATA design02-hx1k nextpnr 1  67.89  70.60 51 46 5
DATA design02-hx1k nextpnr 2  64.94  66.71 55 50 5
DATA design02-hx1k nextpnr 3  65.96  68.01 54 48 6
DATA design02-hx1k nextpnr 4  69.30  68.46 51 46 5
DATA design02-hx1k nextpnr 5  61.35  64.02 49 42 7
DATA design02-hx1k nextpnr 6  68.82  67.95 56 51 5
DATA design02-hx1k nextpnr 7  67.93  70.99 51 46 5
DATA design02-hx1k nextpnr 8  64.89  67.85 59 54 5
DATA design02-hx1k nextpnr 9  71.79  72.24 53 48 5
DATA design02-hx8k arachne 0  60.53   0.00 44 24 20
DATA design02-hx8k arachne 1  60.50   0.00 46 25 21
DATA design02-hx8k arachne 2  57.34   0.00 42 23 19
DATA design02-hx8k arachne 3  53.05   0.00 45 25 20
DATA design02-hx8k arachne 4  53.42   0.00 46 25 21
DATA design02-hx8k arachne 5  60.17   0.00 44 24 20
DATA design02-hx8k arachne 6  53.50   0.00 46 25 21
DATA design02-hx8k arachne 7  58.48   0.00 45 24 21
DATA design02-hx8k arachne 8  53.82   0.00 42 21 21
DATA design02-hx8k arachne 9  58.79   0.00 45 24 21
DATA design02-hx8k nextpnr 0  70.82  67.75 88 73 15
DATA design02-hx8k nextpnr 1  73.31  64.65 87 72 15
DATA design02-hx8k nextpnr 2  65.40  66.99 87 71 16
DATA design02-hx8k nextpnr 3  67.80  63.17 88 73 15
DATA design02-hx8k nextpnr 4  69.44  65.97 92 75 17
DATA design02-hx8k nextpnr 5  64.77  63.84 86 71 15
DATA design02-hx8k nextpnr 6  66.67  66.26 88 71 17
DATA design02-hx8k nextpnr 7  69.40  65.78 88 72 16
DATA design02-hx8k nextpnr 8  61.46  63.08 90 74 16
DATA design02-hx8k nextpnr 9  70.22  72.57 89 74 15
DATA design03-up5k arachne 0   6.25   0.00 289 175 114
DATA design03-up5k arachne 1   6.63   0.00 243 172 71
DATA design03-up5k arachne 2   6.63   0.00 262 174 88
DATA design03-up5k arachne 3   6.38   0.00 296 174 122
DATA design03-up5k arachne 4   6.65   0.00 266 189 77
DATA design03-up5k arachne 5   6.70   0.00 253 175 78
DATA design03-up5k arachne 6   6.77   0.00 248 175 73
DATA design03-up5k arachne 7   6.34   0.00 280 174 106
DATA design03-up5k arachne 8   6.45   0.00 270 185 85
DATA design03-up5k arachne 9   6.38   0.00 306 180 126
DATA design03-up5k nextpnr 0   7.62   7.72 397 336 61
DATA design03-up5k nextpnr 1   7.98   8.00 377 316 61
DATA design03-up5k nextpnr 2   7.81   7.94 380 320 60
DATA design03-up5k nextpnr 3   6.85   7.00 466 308 158
DATA design03-up5k nextpnr 4   6.59   6.66 456 311 145
DATA design03-up5k nextpnr 5   6.85   6.92 422 338 84
DATA design03-up5k nextpnr 6   8.15   8.17 387 330 57
DATA design03-up5k nextpnr 7   7.40   7.54 377 323 54
DATA design03-up5k nextpnr 8   7.97   7.99 414 353 61
DATA design03-up5k nextpnr 9   7.95   8.00 376 321 55
