DATA design01-hx8k arachne 0  28.31   0.00 348 253 95
DATA design01-hx8k arachne 1  26.48   0.00 337 251 86
DATA design01-hx8k arachne 2  29.67   0.00 337 244 93
DATA design01-hx8k arachne 3  26.90   0.00 322 242 80
DATA design01-hx8k arachne 4  27.18   0.00 420 254 166
DATA design01-hx8k arachne 5  28.03   0.00 348 253 95
DATA design01-hx8k arachne 6  29.27   0.00 339 249 90
DATA design01-hx8k arachne 7  26.79   0.00 433 255 178
DATA design01-hx8k arachne 8  26.64   0.00 408 247 161
DATA design01-hx8k arachne 9  28.76   0.00 354 247 107
DATA design01-hx8k nextpnr 0  31.87  32.11 559 507 52
DATA design01-hx8k nextpnr 1  30.85  31.17 546 509 37
DATA design01-hx8k nextpnr 2  32.46  32.84 537 503 34
DATA design01-hx8k nextpnr 3  31.48  31.90 548 515 33
DATA design01-hx8k nextpnr 4  31.62  32.43 542 504 38
DATA design01-hx8k nextpnr 5  30.40  30.92 566 497 69
DATA design01-hx8k nextpnr 6  31.57  31.99 545 496 49
DATA design01-hx8k nextpnr 7  31.37  31.73 525 489 36
DATA design01-hx8k nextpnr 8  31.08  31.56 521 482 39
DATA design01-hx8k nextpnr 9  32.85  33.38 519 473 46
DATA design02-hx1k arachne 0  53.50   0.00 27 22 5
DATA design02-hx1k arachne 1  53.97   0.00 28 22 6
DATA design02-hx1k arachne 2  53.76   0.00 26 21 5
DATA design02-hx1k arachne 3  55.40   0.00 29 24 5
DATA design02-hx1k arachne 4  55.40   0.00 26 21 5
DATA design02-hx1k arachne 5  54.35   0.00 28 22 6
DATA design02-hx1k arachne 6  63.57   0.00 27 22 5
DATA design02-hx1k arachne 7  56.63   0.00 30 25 5
DATA design02-hx1k arachne 8  55.31   0.00 27 23 4
DATA design02-hx1k arachne 9  60.50   0.00 25 20 5
DATA design02-hx1k nextpnr 0  66.89  69.84 53 50 3
DATA design02-hx1k nextpnr 1  67.57  67.75 52 49 3
DATA design02-hx1k nextpnr 2  63.73  65.27 54 51 3
DATA design02-hx1k nextpnr 3  64.94  66.59 52 48 4
DATA design02-hx1k nextpnr 4  69.78  68.27 49 46 3
DATA design02-hx1k nextpnr 5  62.54  65.34 48 45 3
DATA design02-hx1k nextpnr 6  67.20  67.98 54 51 3
DATA design02-hx1k nextpnr 7  68.03  70.59 50 46 4
DATA design02-hx1k nextpnr 8  66.93  68.11 56 53 3
DATA design02-hx1k nextpnr 9  70.77  72.87 52 49 3
DATA design02-hx8k arachne 0  60.53   0.00 44 24 20
DATA design02-hx8k arachne 1  60.50   0.00 46 25 21
DATA design02-hx8k arachne 2  57.34   0.00 44 25 19
DATA design02-hx8k arachne 3  53.05   0.00 45 24 21
DATA design02-hx8k arachne 4  53.42   0.00 47 25 22
DATA design02-hx8k arachne 5  60.17   0.00 44 25 19
DATA design02-hx8k arachne 6  53.50   0.00 45 25 20
DATA design02-hx8k arachne 7  58.48   0.00 45 24 21
DATA design02-hx8k arachne 8  53.82   0.00 42 22 20
DATA design02-hx8k arachne 9  58.79   0.00 45 24 21
DATA design02-hx8k nextpnr 0  70.27  67.49 80 74 6
DATA design02-hx8k nextpnr 1  71.58  64.18 79 72 7
DATA design02-hx8k nextpnr 2  64.06  64.92 77 71 6
DATA design02-hx8k nextpnr 3  70.27  67.46 79 73 6
DATA design02-hx8k nextpnr 4  67.98  69.33 82 77 5
DATA design02-hx8k nextpnr 5  64.56  65.15 79 73 6
DATA design02-hx8k nextpnr 6  68.59  68.06 77 71 6
DATA design02-hx8k nextpnr 7  69.98  66.67 79 73 6
DATA design02-hx8k nextpnr 8  61.88  63.08 82 75 7
DATA design02-hx8k nextpnr 9  69.69  71.88 82 76 6
DATA design03-up5k arachne 0   6.25   0.00 289 175 114
DATA design03-up5k arachne 1   6.63   0.00 245 177 68
DATA design03-up5k arachne 2   6.63   0.00 262 177 85
DATA design03-up5k arachne 3   6.38   0.00 298 176 122
DATA design03-up5k arachne 4   6.65   0.00 262 188 74
DATA design03-up5k arachne 5   6.70   0.00 258 179 79
DATA design03-up5k arachne 6   6.77   0.00 246 174 72
DATA design03-up5k arachne 7   6.34   0.00 285 177 108
DATA design03-up5k arachne 8   6.45   0.00 266 180 86
DATA design03-up5k arachne 9   6.38   0.00 302 178 124
DATA design03-up5k nextpnr 0   8.17   8.31 415 347 68
DATA design03-up5k nextpnr 1   8.26   8.42 402 329 73
DATA design03-up5k nextpnr 2   8.17   8.31 397 326 71
DATA design03-up5k nextpnr 3   7.77   7.74 417 315 102
DATA design03-up5k nextpnr 4   8.11   8.14 423 318 105
DATA design03-up5k nextpnr 5   7.87   7.96 429 345 84
DATA design03-up5k nextpnr 6   8.26   8.31 410 340 70
DATA design03-up5k nextpnr 7   8.21   8.19 400 329 71
DATA design03-up5k nextpnr 8   8.00   8.05 438 365 73
DATA design03-up5k nextpnr 9   8.02   8.05 400 330 70
