DATA design01-hx8k arachne 0  28.31   0.00 347 252 95
DATA design01-hx8k arachne 1  26.48   0.00 335 249 86
DATA design01-hx8k arachne 2  29.67   0.00 339 245 94
DATA design01-hx8k arachne 3  26.90   0.00 318 237 81
DATA design01-hx8k arachne 4  27.18   0.00 415 248 167
DATA design01-hx8k arachne 5  28.03   0.00 355 259 96
DATA design01-hx8k arachne 6  29.27   0.00 341 253 88
DATA design01-hx8k arachne 7  26.79   0.00 434 253 181
DATA design01-hx8k arachne 8  26.64   0.00 412 250 162
DATA design01-hx8k arachne 9  28.76   0.00 355 248 107
DATA design01-hx8k nextpnr 0  36.98  34.82 563 523 40
DATA design01-hx8k nextpnr 1  35.16  32.91 549 514 35
DATA design01-hx8k nextpnr 2  34.08  32.17 559 506 53
DATA design01-hx8k nextpnr 3  34.12  32.88 571 516 55
DATA design01-hx8k nextpnr 4  38.10  34.08 554 517 37
DATA design01-hx8k nextpnr 5  36.85  34.17 564 523 41
DATA design01-hx8k nextpnr 6  37.36  33.71 565 527 38
DATA design01-hx8k nextpnr 7  35.17  32.83 542 505 37
DATA design01-hx8k nextpnr 8  36.06  32.30 522 486 36
DATA design01-hx8k nextpnr 9  37.76  33.29 518 482 36
DATA design02-hx1k arachne 0  53.50   0.00 28 23 5
DATA design02-hx1k arachne 1  53.97   0.00 28 22 6
DATA design02-hx1k arachne 2  53.76   0.00 27 21 6
DATA design02-hx1k arachne 3  55.40   0.00 28 24 4
DATA design02-hx1k arachne 4  55.40   0.00 26 21 5
DATA design02-hx1k arachne 5  54.35   0.00 27 22 5
DATA design02-hx1k arachne 6  63.57   0.00 28 23 5
DATA design02-hx1k arachne 7  56.63   0.00 29 24 5
DATA design02-hx1k arachne 8  55.31   0.00 26 21 5
DATA design02-hx1k arachne 9  60.50   0.00 26 21 5
DATA design02-hx1k nextpnr 0  65.66  66.46 53 48 5
DATA design02-hx1k nextpnr 1  76.05  75.68 55 51 4
DATA design02-hx1k nextpnr 2  68.49  66.46 53 49 4
DATA design02-hx1k nextpnr 3  74.57  74.35 53 49 4
DATA design02-hx1k nextpnr 4  68.92  69.40 54 50 4
DATA design02-hx1k nextpnr 5  75.13  75.17 57 54 3
DATA design02-hx1k nextpnr 6  76.39  77.29 55 52 3
DATA design02-hx1k nextpnr 7  73.37  74.82 48 44 4
DATA design02-hx1k nextpnr 8  71.48  71.45 61 57 4
DATA design02-hx1k nextpnr 9  73.75  72.48 56 52 4
DATA design02-hx8k arachne 0  60.53   0.00 45 25 20
DATA design02-hx8k arachne 1  60.50   0.00 44 23 21
DATA design02-hx8k arachne 2  57.34   0.00 43 24 19
DATA design02-hx8k arachne 3  53.05   0.00 45 25 20
DATA design02-hx8k arachne 4  53.42   0.00 46 25 21
DATA design02-hx8k arachne 5  60.17   0.00 43 24 19
DATA design02-hx8k arachne 6  53.50   0.00 45 25 20
DATA design02-hx8k arachne 7  58.48   0.00 44 23 21
DATA design02-hx8k arachne 8  53.82   0.00 41 21 20
DATA design02-hx8k arachne 9  58.79   0.00 46 24 22
DATA design02-hx8k nextpnr 0  72.62  72.83 77 71 6
DATA design02-hx8k nextpnr 1  71.17  72.84 80 74 6
DATA design02-hx8k nextpnr 2  69.06  69.28 78 72 6
DATA design02-hx8k nextpnr 3  73.58  76.96 76 69 7
DATA design02-hx8k nextpnr 4  74.52  75.51 82 76 6
DATA design02-hx8k nextpnr 5  76.63  75.96 85 80 5
DATA design02-hx8k nextpnr 6  69.06  70.76 77 71 6
DATA design02-hx8k nextpnr 7  71.89  73.19 84 78 6
DATA design02-hx8k nextpnr 8  70.37  71.20 82 75 7
DATA design02-hx8k nextpnr 9  74.57  75.83 78 71 7
DATA design03-up5k arachne 0   6.25   0.00 289 176 113
DATA design03-up5k arachne 1   6.63   0.00 246 175 71
DATA design03-up5k arachne 2   6.63   0.00 259 173 86
DATA design03-up5k arachne 3   6.38   0.00 298 174 124
DATA design03-up5k arachne 4   6.65   0.00 258 184 74
DATA design03-up5k arachne 5   6.70   0.00 257 178 79
DATA design03-up5k arachne 6   6.77   0.00 249 178 71
DATA design03-up5k arachne 7   6.34   0.00 282 176 106
DATA design03-up5k arachne 8   6.45   0.00 269 183 86
DATA design03-up5k arachne 9   6.38   0.00 305 180 125
DATA design03-up5k nextpnr 0   8.22   8.24 466 308 158
DATA design03-up5k nextpnr 1   7.55   7.63 408 307 101
DATA design03-up5k nextpnr 2   8.12   8.23 398 297 101
DATA design03-up5k nextpnr 3   8.30   8.38 413 299 114
DATA design03-up5k nextpnr 4   8.34   8.40 400 321 79
DATA design03-up5k nextpnr 5   8.01   8.10 419 311 108
DATA design03-up5k nextpnr 6   7.93   8.04 408 301 107
DATA design03-up5k nextpnr 7   8.10   8.16 415 303 112
DATA design03-up5k nextpnr 8   8.03   8.04 401 302 99
DATA design03-up5k nextpnr 9   8.25   8.39 420 307 113
